"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.928957380E-1,-4.620809257E-1,1.065898609E1,1.795651275E-3,1.066899745E1
5.978633940E-1,-4.525041282E-1,1.064462090E1,3.531447425E-2,1.065429308E1
6.028310510E-1,-4.429273009E-1,1.061110210E1,6.404489279E-2,1.062053550E1
6.077987070E-1,-4.381389022E-1,1.062546730E1,8.319851011E-2,1.063482219E1
6.127663630E-1,-4.381389022E-1,1.063504410E1,7.841010392E-2,1.064435422E1
6.177340190E-1,-4.668693244E-1,1.062546730E1,1.406593472E-1,1.063664925E1
6.227016760E-1,-4.908113480E-1,1.063504410E1,1.885433793E-1,1.064803303E1
6.276693320E-1,-4.955997467E-1,1.063504410E1,2.172738016E-1,1.064880228E1
6.326369880E-1,-5.003881454E-1,1.060631371E1,2.172738016E-1,1.062033364E1
6.376046440E-1,-5.578489900E-1,1.056321812E1,2.172738016E-1,1.058016920E1
6.425723010E-1,-5.817909837E-1,1.054406452E1,2.316390127E-1,1.056264333E1
6.475399570E-1,-6.009446383E-1,1.053448772E1,2.364274114E-1,1.055426284E1
6.525076130E-1,-6.105214357E-1,1.052012253E1,2.124854028E-1,1.053996511E1
6.574752690E-1,-6.296750307E-1,1.052012253E1,2.029085904E-1,1.054090321E1
6.624429260E-1,-6.248866320E-1,1.051054573E1,1.885433793E-1,1.053079311E1
6.674105820E-1,-6.392518282E-1,1.048181534E1,1.598129570E-1,1.050250617E1
6.723782380E-1,-6.775590777E-1,1.043871975E1,1.358709484E-1,1.046156858E1
6.773458940E-1,-6.967126727E-1,1.038604736E1,1.502361596E-1,1.041047354E1
6.823135510E-1,-6.871358752E-1,1.033337498E1,1.502361596E-1,1.035728560E1
6.872812070E-1,-6.727706790E-1,1.028549004E1,1.215057373E-1,1.030818555E1
6.922488630E-1,-6.679822803E-1,1.024239445E1,1.071405262E-1,1.026471254E1
6.972165190E-1,-6.727706790E-1,1.020408726E1,1.023521200E-1,1.022675379E1
7.021841760E-1,-6.344634295E-1,1.018014526E1,6.883329898E-2,1.020012938E1
7.071518320E-1,-5.961562395E-1,1.014662647E1,2.094926499E-2,1.016414629E1
7.121194880E-1,-5.865794420E-1,1.010353088E1,2.094926499E-2,1.012056573E1
