t	y
8,572917E-1	-7,610657E-1
8,583333E-1	-7,653924E-1
8,593750E-1	-7,698086E-1
8,604167E-1	-7,745328E-1
8,614583E-1	-7,790059E-1
8,625000E-1	-7,832443E-1
8,635417E-1	-7,873661E-1
8,645833E-1	-7,918160E-1
8,656250E-1	-7,959131E-1
8,666667E-1	-8,005565E-1
8,687500E-1	-8,070686E-1
8,697917E-1	-8,117905E-1
8,708333E-1	-8,163348E-1
8,718750E-1	-8,209975E-1
8,729167E-1	-8,256239E-1
8,739583E-1	-8,301286E-1
8,750000E-1	-8,348723E-1
8,760417E-1	-8,393053E-1
8,770833E-1	-8,440916E-1
8,781250E-1	-8,484585E-1
8,791667E-1	-8,528913E-1
8,802083E-1	-8,576206E-1
8,812500E-1	-8,622193E-1
8,822917E-1	-8,667590E-1
8,833333E-1	-8,711658E-1
8,843750E-1	-8,756499E-1
8,854167E-1	-8,804669E-1
8,864583E-1	-8,851914E-1
8,875000E-1	-8,899509E-1
8,885417E-1	-8,942908E-1
8,895833E-1	-8,988827E-1
8,906250E-1	-9,035061E-1
8,916667E-1	-9,083015E-1
8,927083E-1	-9,126688E-1
8,937500E-1	-9,172442E-1
8,947917E-1	-9,219978E-1
8,958333E-1	-9,263766E-1
8,968750E-1	-9,309343E-1
8,979167E-1	-9,357576E-1
8,989583E-1	-9,402652E-1
9,000000E-1	-9,451629E-1
9,010417E-1	-9,502213E-1
9,020833E-1	-9,550188E-1
9,031250E-1	-9,599459E-1
9,041667E-1	-9,644699E-1
9,052083E-1	-9,692008E-1
9,062500E-1	-9,738836E-1
9,072917E-1	-9,793021E-1
9,083333E-1	-9,842655E-1
9,093750E-1	-9,888507E-1
9,104167E-1	-9,900631E-1
