t	y
5,708333E-1	-1,314865E-1
5,718750E-1	-1,331370E-1
5,729167E-1	-1,348392E-1
5,739583E-1	-1,366855E-1
5,750000E-1	-1,383462E-1
5,760417E-1	-1,400228E-1
5,770833E-1	-1,418610E-1
5,781250E-1	-1,438550E-1
5,791667E-1	-1,456961E-1
5,802083E-1	-1,475507E-1
5,812500E-1	-1,493415E-1
5,822917E-1	-1,515186E-1
5,833333E-1	-1,532390E-1
5,843750E-1	-1,550259E-1
5,854167E-1	-1,569835E-1
5,864583E-1	-1,588425E-1
5,875000E-1	-1,609875E-1
5,885417E-1	-1,627077E-1
5,895833E-1	-1,647382E-1
5,906250E-1	-1,667823E-1
5,916667E-1	-1,687883E-1
5,927083E-1	-1,705798E-1
5,937500E-1	-1,727777E-1
5,947917E-1	-1,749126E-1
5,958333E-1	-1,766945E-1
5,968750E-1	-1,786934E-1
5,979167E-1	-1,808908E-1
5,989583E-1	-1,826874E-1
6,000000E-1	-1,847589E-1
6,010417E-1	-1,869667E-1
6,020833E-1	-1,889639E-1
6,031250E-1	-1,909872E-1
6,041667E-1	-1,930428E-1
6,052083E-1	-1,953269E-1
6,062500E-1	-1,975550E-1
6,072917E-1	-1,996259E-1
6,083333E-1	-2,017444E-1
6,093750E-1	-2,039569E-1
6,104167E-1	-2,060633E-1
6,114583E-1	-2,083288E-1
6,125000E-1	-2,105504E-1
6,135417E-1	-2,125874E-1
6,145833E-1	-2,150080E-1
6,156250E-1	-2,171189E-1
6,166667E-1	-2,195460E-1
6,177083E-1	-2,215454E-1
6,187500E-1	-2,239520E-1
6,197917E-1	-2,260788E-1
6,208333E-1	-2,284588E-1
6,218750E-1	-2,306587E-1
6,229167E-1	-2,327303E-1
6,239583E-1	-2,351735E-1
6,250000E-1	-2,377753E-1
6,260417E-1	-2,397157E-1
6,270833E-1	-2,422609E-1
6,281250E-1	-2,444775E-1
6,291667E-1	-2,469567E-1
6,302083E-1	-2,492915E-1
6,312500E-1	-2,514544E-1
6,322917E-1	-2,538500E-1
6,333333E-1	-2,562410E-1
6,343750E-1	-2,586490E-1
6,354167E-1	-2,612919E-1
6,364583E-1	-2,636017E-1
6,375000E-1	-2,660897E-1
6,385417E-1	-2,686606E-1
6,395833E-1	-2,708061E-1
6,406250E-1	-2,736561E-1
6,416667E-1	-2,759521E-1
6,427083E-1	-2,784129E-1
6,437500E-1	-2,812534E-1
6,447917E-1	-2,836013E-1
6,458333E-1	-2,861536E-1
6,468750E-1	-2,889490E-1
6,479167E-1	-2,913989E-1
6,489583E-1	-2,938822E-1
6,500000E-1	-2,965725E-1
6,510417E-1	-2,989747E-1
6,520833E-1	-3,016784E-1
6,531250E-1	-3,044248E-1
6,541667E-1	-3,068771E-1
6,552083E-1	-3,094294E-1
6,562500E-1	-3,121356E-1
6,572917E-1	-3,149752E-1
6,583333E-1	-3,174156E-1
6,593750E-1	-3,201883E-1
6,604167E-1	-3,228034E-1
6,614583E-1	-3,253696E-1
6,625000E-1	-3,282674E-1
6,635417E-1	-3,309270E-1
6,645833E-1	-3,336903E-1
6,656250E-1	-3,366395E-1
6,666667E-1	-3,391360E-1
6,677083E-1	-3,417582E-1
