"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.621829890E-1,5.865794420E-1,9.600749016E0,3.657143116E-1,9.625601491E0
6.671507490E-1,5.434837937E-1,9.629479408E0,3.561375141E-1,9.651377220E0
6.721185100E-1,4.955997467E-1,9.648633003E0,3.513490856E-1,9.667739349E0
6.770862700E-1,4.477157295E-1,9.672574997E0,3.369838893E-1,9.688793247E0
6.820540310E-1,3.998316824E-1,9.715670586E0,3.130418658E-1,9.728931879E0
6.870217910E-1,3.615244627E-1,9.734824181E0,2.890998423E-1,9.745823746E0
6.919895510E-1,2.992752194E-1,9.763554573E0,2.747346461E-1,9.772003003E0
6.969573120E-1,2.513911724E-1,9.787496567E0,2.555810213E-1,9.794059844E0
7.019250720E-1,1.795651317E-1,9.811438560E0,2.316390127E-1,9.815815142E0
7.068928330E-1,1.316810995E-1,9.840168953E0,2.124854028E-1,9.843343689E0
7.118605930E-1,7.900865376E-2,9.878476143E0,1.981201917E-1,9.880778557E0
7.168283530E-1,1.197100803E-2,9.897629738E0,1.646013707E-1,9.899005573E0
7.217961140E-1,-5.506663769E-2,9.907206535E0,1.454477459E-1,9.908427156E0
7.267638740E-1,-1.173158810E-1,9.916783333E0,1.215057373E-1,9.918221531E0
7.317316350E-1,-1.604115069E-1,9.950302124E0,1.023521200E-1,9.952121390E0
7.366993950E-1,-2.226607651E-1,9.969455719E0,7.362170517E-2,9.972213661E0
7.416671560E-1,-2.705447972E-1,9.959878922E0,5.925649032E-2,9.963728918E0
7.466349160E-1,-3.280056417E-1,9.979032516E0,4.967968538E-2,9.984545345E0
7.516026760E-1,-3.854664862E-1,9.983820915E0,2.094926499E-2,9.991281367E0
7.565704370E-1,-4.141969085E-1,9.993397713E0,1.137245819E-2,1.000198412E1
7.615381970E-1,-4.620809257E-1,9.979032516E0,-7.781155407E-3,9.989728189E0
7.665059580E-1,-4.860229492E-1,1.000297451E1,-1.735796221E-2,1.001479000E1
7.714737180E-1,-5.243301988E-1,9.998186111E0,-2.693476900E-2,1.001196150E1
7.764414780E-1,-5.578489900E-1,9.993397713E0,-2.693476900E-2,1.000899190E1
7.814092390E-1,-5.626373887E-1,1.000297451E1,-3.651157767E-2,1.001885188E1
