Freq(Hz),Gain(dB),Phase
10546.199610,-17.746677,64.669563
10791.852156,-17.218782,65.744370
10958.791236,-17.663704,65.553528
11300.456479,-17.299080,65.784836
11833.030585,-17.108109,63.567917
11833.030585,-17.130037,64.417038
11833.030585,-16.912815,64.643326
12390.704136,-15.848911,66.038422
12777.012521,-15.927355,68.456039
12974.660031,-15.514463,69.915024
13276.878687,-16.551842,68.750626
13586.136920,-15.968611,69.595428
13796.300769,-16.066647,68.569733
14226.431827,-15.487647,67.706596
14896.902903,-15.496739,68.895859
14896.902903,-15.234234,68.821991
14896.902903,-14.942032,68.092087
15598.972307,-14.788601,66.242844
16085.305750,-14.407832,67.120377
16334.129223,-13.889702,66.774742
16714.599969,-14.139641,70.501480
17103.933017,-13.657755,69.945732
17368.513627,-14.189558,69.228363
17910.016546,-13.693411,68.071548
18754.089621,-13.296664,69.279236
18754.089621,-13.343566,68.526375
18754.089621,-13.089148,68.088707
19637.942635,-12.922739,66.365326
20250.200165,-12.429802,67.112411
20563.450358,-12.051298,67.369446
21042.434649,-12.506857,70.318886
21532.575917,-12.198214,68.291107
21865.663171,-12.308105,67.036499
22547.374955,-11.642554,66.917526
23610.000000,-11.866279,66.905701
23610.000000,-11.770546,65.137787
23610.000000,-11.451207,65.377396
24722.705019,-10.711167,66.201004
25493.491582,-10.856787,64.817009
25887.850210,-10.057653,65.855316
26490.855706,-10.436484,67.152206
27107.907003,-9.592522,67.883286
27527.239011,-10.168970,67.453949
28385.463301,-9.856331,67.184944
29723.228972,-9.903462,64.881470
29723.228972,-9.777832,65.026566
29723.228972,-9.620027,65.604355
31124.041597,-8.718465,64.927185
32094.404388,-8.830622,67.426582
32590.872487,-8.509310,66.786560
33350.011428,-9.440908,65.549240
34126.832987,-8.732594,64.785614
34654.740708,-8.684474,64.241959
35735.181075,-8.059451,62.704575
37419.328274,-8.359835,64.771179
37419.328274,-7.990298,64.007790
37419.328274,-7.661059,62.606377
39182.846884,-7.618591,60.863342
40404.461261,-7.268341,60.785999
41029.477566,-6.867543,61.273975
41985.176871,-7.270553,63.854912
42963.137271,-6.836157,61.401398
43627.733717,-7.155181,59.901657
44987.927551,-6.635444,58.523865
47108.143256,-6.428766,60.760490
47108.143256,-6.389960,59.146599
47108.143256,-6.132328,58.500328
49328.281649,-6.023428,56.465454
50866.203031,-5.749919,56.442272
51653.051941,-5.344314,55.800064
52856.206081,-5.389703,57.978409
54087.385281,-4.921933,56.982552
54924.062635,-5.276031,56.862194
56636.445218,-5.122443,55.419792
59305.638647,-5.058578,53.643463
59305.638647,-4.981990,53.153229
59305.638647,-4.944721,52.299999
62100.627288,-4.211234,52.429710
64036.755598,-4.316706,53.847389
65027.339685,-4.108685,52.989902
66542.021007,-4.779635,51.985626
68091.983788,-4.288120,49.929604
69145.298170,-4.217884,49.655899
71301.060118,-3.762124,47.334076
74661.375556,-3.982600,49.744797
74661.375556,-3.731853,48.528717
74661.375556,-3.506857,47.071285
78180.057782,-3.470669,45.186066
80617.498911,-3.215120,45.653397
81864.570391,-2.947400,44.614834
83771.441198,-3.269521,47.811760
85722.728731,-2.981253,43.896420
87048.772973,-3.196645,44.004997
89762.716471,-2.831218,41.111084
93993.102967,-2.727213,43.106178
93993.102967,-2.713671,42.200714
93993.102967,-2.512516,41.312408
98422.861437,-2.416967,37.933167
101491.418014,-2.301765,38.986076
103061.387991,-2.026212,37.145203
105461.996106,-2.102941,40.787971
107918.521568,-1.869251,37.394028
109587.912361,-2.114004,38.360207
113004.564797,-2.039447,35.451797
118330.305859,-1.925020,35.416416
118330.305859,-1.942068,34.268402
118330.305859,-1.887576,33.474327
123907.041364,-1.478283,33.378540
127770.125217,-1.625766,33.124371
129746.600317,-1.505701,32.720894
132768.786877,-1.839525,32.975113
135861.369205,-1.610018,29.404575
137963.007697,-1.571191,29.773533
142264.318272,-1.305183,28.153942
148969.029031,-1.434865,29.211636
148969.029031,-1.301276,28.377136
148969.029031,-1.180044,27.031521
155989.723074,-1.161562,25.017952
160853.057504,-1.044123,25.721151
163341.292233,-0.912876,24.646717
167145.999693,-1.118489,27.248091
171039.330173,-0.970794,23.768520
173685.136277,-1.060077,23.592386
179100.165464,-0.895189,21.738129
187540.896218,-0.867793,23.809958
187540.896218,-0.847949,22.162418
187540.896218,-0.768870,21.226187
196379.426357,-0.699154,19.318409
202502.001657,-0.642317,20.330574
205634.503588,-0.580170,19.267595
210424.346493,-0.775911,20.991760
215325.759171,-0.643639,17.476181
218656.631711,-0.585747,17.836931
225473.749559,-0.518806,16.011086
236100.000000,-0.576318,17.198242
236100.000000,-0.484427,15.709991
236100.000000,-0.460801,14.940197
247227.050194,-0.416038,14.939960
254934.915825,-0.370205,14.338379
258878.502109,-0.327591,14.299421
264908.557060,-0.415750,15.081215
271079.070035,-0.369941,14.170963
275272.390118,-0.392576,13.499841
283854.633013,-0.377889,11.347181
297232.289724,-0.313131,12.013721
297232.289724,-0.324911,11.108047
297232.289724,-0.307180,10.088654
