Freq(Hz),Gain(dB),Phase
1651.713988,-7.830686,-40.080647
1677.26434,-7.660464,-40.397385
1729.556871,-8.142851,-38.946213
1811.068375,-8.485837,-40.0933
1811.068375,-8.679609,-40.128448
1811.068375,-7.46605,-42.119949
1896.421398,-8.909982,-39.03907
1955.546648,-9.243076,-37.762115
1985.796985,-9.526797,-31.366886
2079.384713,-9.821054,-33.70118
2111.5507,-9.750725,-35.047424
2177.383096,-10.388081,-32.890099
2280.0,-10.624626,-34.888187
2280.0,-9.283478,-37.401512
2280.0,-10.391506,-33.684143
2387.453089,-11.17468,-31.608974
2461.88737,-10.931392,-32.995499
2499.970287,-11.438822,-30.074898
2617.790257,-11.795027,-29.555941
2658.284834,-11.527914,-30.657236
2741.16291,-12.07785,-26.954945
2870.349938,-12.627359,-22.89818
2870.349938,-11.05703,-27.663164
2870.349938,-12.167961,-23.708065
3005.625363,-13.02862,-17.057724
3099.332571,-12.896418,-19.156212
3147.276123,-13.360469,-15.014885
3295.602677,-13.607698,-12.169632
3346.58233,-13.391798,-12.935113
3450.919646,-13.78801,-8.440472
3613.556478,-13.88532,-5.203549
3613.556478,-13.687054,7.092004
3613.556478,-12.5128,-14.215705
3783.858148,-14.067715,2.67515
3901.828533,-13.727869,6.630439
3962.185889,-13.84087,5.101156
4148.917957,-13.801943,8.189117
4213.097538,-13.729564,10.798587
4344.450436,-13.696574,11.457779
4549.198078,-13.369738,15.737146
4549.198078,-13.385376,15.248369
4549.198078,-12.819506,16.629103
4763.595178,-13.267094,19.379673
4912.111093,-13.026761,19.218403
4988.096502,-12.841551,21.908695
5223.178248,-12.456266,26.800671
5303.975553,-12.46767,26.967537
5469.339055,-12.280101,30.868397
5727.101063,-12.340315,30.640148
5727.101063,-12.20294,31.807585
5727.101063,-12.379038,24.813877
5997.011021,-11.571547,32.744499
6183.98148,-11.393373,34.700294
6279.641443,-10.889694,36.471169
6575.591827,-10.713062,38.522903
6677.309607,-11.007809,36.839638
6885.489922,-10.464853,38.089008
7209.993065,-10.713367,33.816399
7209.993065,-10.034101,39.035965
7209.993065,-9.687891,40.488045
7549.789569,-9.491245,41.69355
7785.171432,-9.646768,39.819485
7905.60019,-9.171354,40.767448
8278.179648,-8.468767,41.924461
8406.234747,-8.81747,43.993103
8668.318236,-8.354488,41.920952
9076.843488,-8.961661,37.432529
9076.843488,-7.808373,42.176292
9076.843488,-8.054478,43.031498
9504.621943,-7.455464,43.49276
9800.950151,-7.629846,42.212967
9952.560975,-7.1614,42.130524
10421.610723,-6.471722,42.257332
10582.82254,-6.636441,46.114151
10912.766104,-6.232825,44.862106
11427.068926,-6.316547,43.81723
11427.068926,-7.703569,41.075706
11427.068926,-6.506393,44.792122
11965.610093,-5.907766,41.965294
12338.665205,-5.576648,43.386063
12529.531923,-5.324306,43.527794
13120.030571,-5.17422,40.150997
13322.984224,-5.448026,41.860649
13738.358562,-5.065042,39.84919
14385.827454,-4.640229,41.223045
14385.827454,-4.488357,40.476471
14385.827454,-5.720387,41.24799
15063.810614,-4.374424,40.672516
15533.459174,-4.497261,37.334633
15773.746136,-4.189433,38.694633
16517.139889,-3.614048,39.007851
16772.643401,-3.808649,38.233742
17295.56871,-3.693361,37.526321
18110.683751,-3.328645,36.454803
18110.683751,-3.380171,36.752739
18110.683751,-4.340958,37.76923
18964.213981,-3.147226,36.659603
19555.466487,-3.18549,34.233475
19857.96985,-2.963009,34.729584
20793.847137,-2.738047,34.773273
21115.507001,-2.961283,33.640675
21773.830961,-2.594006,32.941544
22800.0,-2.382837,32.908257
22800.0,-3.257326,35.253616
22800.0,-2.548686,34.203999
23874.530895,-2.211048,31.031593
